time_ms,ax,ay,az,gx,gy,gz,label
10444,-1.02,-0.25,0.11,3.17,-0.31,-0.12,standing
10471,-0.99,-0.25,0.11,0.24,0.92,0.31,standing
10498,-0.99,-0.25,0.1,3.66,-0.12,-0.24,standing
10525,-0.99,-0.26,0.11,3.42,-0.55,-0.18,standing
10552,-0.99,-0.26,0.11,2.69,-0.67,0.12,standing
10578,-0.99,-0.25,0.11,3.42,-0.67,0.31,standing
10605,-0.99,-0.25,0.11,2.81,-0.61,0.37,standing
10632,-0.99,-0.25,0.11,2.56,-0.61,0.49,standing
10659,-0.99,-0.25,0.11,2.44,0.06,1.28,standing
10686,-0.99,-0.25,0.1,2.69,-0.12,1.1,standing
10712,-0.99,-0.25,0.11,3.42,-0.12,0.92,standing
10739,-0.99,-0.25,0.11,3.42,0.18,1.04,standing
10766,-0.99,-0.25,0.11,2.93,0.43,1.1,standing
10792,-0.99,-0.25,0.11,3.11,0.43,0.79,standing
10818,-0.99,-0.25,0.1,2.38,-0.18,0.73,standing
10845,-0.99,-0.25,0.1,1.46,-0.61,0.85,standing
10871,-0.99,-0.25,0.11,1.34,-1.04,0.79,standing
10897,-0.99,-0.25,0.11,1.34,-1.04,0.79,standing
10924,-0.99,-0.24,0.11,1.83,-0.73,0.49,standing
10950,-0.99,-0.25,0.11,2.32,-0.31,0.43,standing
10977,-0.99,-0.25,0.1,2.81,0.0,-0.12,standing
11004,-0.99,-0.25,0.1,2.62,-0.43,0.61,standing
11030,-0.99,-0.25,0.1,3.54,-0.61,0.85,standing
11057,-0.99,-0.25,0.11,3.54,-0.43,1.04,standing
11084,-0.99,-0.25,0.11,3.42,0.43,1.16,standing
11111,-0.99,-0.25,0.1,3.05,0.12,1.4,standing
11137,-0.99,-0.25,0.11,3.11,-0.49,1.16,standing
